version,run_number,test_name,test_path,phase,duration_sec,total_test_time
after_careful_mock,32,test_updated_advisories[ApacheTomcatDataSource-config22],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheTomcatDataSource-config22],setup,0.0,33.89
after_careful_mock,32,test_updated_advisories[DebianDataSource-config3],vulnerabilities/tests/test_upstream.py::test_updated_advisories[DebianDataSource-config3],setup,0.0,33.89
after_careful_mock,32,test_updated_advisories[SUSESeverityScoreDataSource-config8],vulnerabilities/tests/test_upstream.py::test_updated_advisories[SUSESeverityScoreDataSource-config8],setup,0.0,33.89
after_careful_mock,32,test_updated_advisories[DebianOvalDataSource-config9],vulnerabilities/tests/test_upstream.py::test_updated_advisories[DebianOvalDataSource-config9],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[ApacheHTTPDDataSource-config17],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheHTTPDDataSource-config17],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[GitHubAPIDataSource-config15],vulnerabilities/tests/test_upstream.py::test_updated_advisories[GitHubAPIDataSource-config15],setup,0.0,33.89
after_careful_mock,32,test_updated_advisories[ArchlinuxDataSource-config2],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ArchlinuxDataSource-config2],setup,0.0,33.89
after_careful_mock,32,test_updated_advisories[ProjectKBMSRDataSource-config16],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ProjectKBMSRDataSource-config16],setup,0.0,33.89
after_careful_mock,32,test_updated_advisories[ApacheKafkaDataSource-config23],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheKafkaDataSource-config23],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[ApacheTomcatDataSource-config22],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheTomcatDataSource-config22],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[ArchlinuxDataSource-config2],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ArchlinuxDataSource-config2],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[RubyDataSource-config5],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RubyDataSource-config5],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[GentooDataSource-config12],vulnerabilities/tests/test_upstream.py::test_updated_advisories[GentooDataSource-config12],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[SUSESeverityScoreDataSource-config8],vulnerabilities/tests/test_upstream.py::test_updated_advisories[SUSESeverityScoreDataSource-config8],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[DebianDataSource-config3],vulnerabilities/tests/test_upstream.py::test_updated_advisories[DebianDataSource-config3],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[NginxDataSource-config19],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NginxDataSource-config19],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[NpmDataSource-config4],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NpmDataSource-config4],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[RustDataSource-config0],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RustDataSource-config0],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[PostgreSQLDataSource-config20],vulnerabilities/tests/test_upstream.py::test_updated_advisories[PostgreSQLDataSource-config20],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[ProjectKBMSRDataSource-config16],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ProjectKBMSRDataSource-config16],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[ElixirSecurityDataSource-config21],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ElixirSecurityDataSource-config21],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[OpenSSLDataSource-config13],vulnerabilities/tests/test_upstream.py::test_updated_advisories[OpenSSLDataSource-config13],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[RetireDotnetDataSource-config7],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RetireDotnetDataSource-config7],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[NVDDataSource-config11],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NVDDataSource-config11],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[UbuntuUSNDataSource-config14],vulnerabilities/tests/test_upstream.py::test_updated_advisories[UbuntuUSNDataSource-config14],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[AlpineDataSource-config1],vulnerabilities/tests/test_upstream.py::test_updated_advisories[AlpineDataSource-config1],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[GitHubAPIDataSource-config15],vulnerabilities/tests/test_upstream.py::test_updated_advisories[GitHubAPIDataSource-config15],teardown,0.0,33.89
after_careful_mock,32,test_updated_advisories[GitHubAPIDataSource-config15],vulnerabilities/tests/test_upstream.py::test_updated_advisories[GitHubAPIDataSource-config15],call,0.0,33.89
after_careful_mock,33,test_updated_advisories[DebianDataSource-config3],vulnerabilities/tests/test_upstream.py::test_updated_advisories[DebianDataSource-config3],call,4.51,32.36
after_careful_mock,33,test_updated_advisories[RustDataSource-config0],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RustDataSource-config0],call,4.43,32.36
after_careful_mock,33,test_updated_advisories[SUSESeverityScoreDataSource-config8],vulnerabilities/tests/test_upstream.py::test_updated_advisories[SUSESeverityScoreDataSource-config8],call,4.29,32.36
after_careful_mock,33,test_updated_advisories[RubyDataSource-config5],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RubyDataSource-config5],call,4.25,32.36
after_careful_mock,33,test_updated_advisories[ApacheTomcatDataSource-config22],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheTomcatDataSource-config22],call,3.61,32.36
after_careful_mock,33,test_updated_advisories[GentooDataSource-config12],vulnerabilities/tests/test_upstream.py::test_updated_advisories[GentooDataSource-config12],call,2.03,32.36
after_careful_mock,33,test_updated_advisories[NpmDataSource-config4],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NpmDataSource-config4],call,1.45,32.36
after_careful_mock,33,test_updated_advisories[ElixirSecurityDataSource-config21],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ElixirSecurityDataSource-config21],call,1.21,32.36
after_careful_mock,33,test_updated_advisories[ApacheHTTPDDataSource-config17],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheHTTPDDataSource-config17],call,0.91,32.36
after_careful_mock,33,test_updated_advisories[PostgreSQLDataSource-config20],vulnerabilities/tests/test_upstream.py::test_updated_advisories[PostgreSQLDataSource-config20],call,0.9,32.36
after_careful_mock,33,test_updated_advisories[NVDDataSource-config11],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NVDDataSource-config11],call,0.8,32.36
after_careful_mock,33,test_updated_advisories[ApacheKafkaDataSource-config23],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheKafkaDataSource-config23],call,0.71,32.36
after_careful_mock,33,test_updated_advisories[RetireDotnetDataSource-config7],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RetireDotnetDataSource-config7],call,0.6,32.36
after_careful_mock,33,test_updated_advisories[NginxDataSource-config19],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NginxDataSource-config19],call,0.58,32.36
after_careful_mock,33,test_updated_advisories[UbuntuDataSource-config6],vulnerabilities/tests/test_upstream.py::test_updated_advisories[UbuntuDataSource-config6],call,0.49,32.36
after_careful_mock,33,test_updated_advisories[OpenSSLDataSource-config13],vulnerabilities/tests/test_upstream.py::test_updated_advisories[OpenSSLDataSource-config13],call,0.43,32.36
after_careful_mock,33,test_updated_advisories[DebianOvalDataSource-config9],vulnerabilities/tests/test_upstream.py::test_updated_advisories[DebianOvalDataSource-config9],call,0.3,32.36
after_careful_mock,33,test_updated_advisories[ArchlinuxDataSource-config2],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ArchlinuxDataSource-config2],call,0.12,32.36
after_careful_mock,33,test_updated_advisories[ProjectKBMSRDataSource-config16],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ProjectKBMSRDataSource-config16],call,0.12,32.36
after_careful_mock,33,test_updated_advisories[RustDataSource-config0],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RustDataSource-config0],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[AlpineDataSource-config1],vulnerabilities/tests/test_upstream.py::test_updated_advisories[AlpineDataSource-config1],call,0.0,32.36
after_careful_mock,33,test_updated_advisories[ApacheHTTPDDataSource-config17],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheHTTPDDataSource-config17],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[ApacheTomcatDataSource-config22],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheTomcatDataSource-config22],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[PostgreSQLDataSource-config20],vulnerabilities/tests/test_upstream.py::test_updated_advisories[PostgreSQLDataSource-config20],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[RetireDotnetDataSource-config7],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RetireDotnetDataSource-config7],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[UbuntuUSNDataSource-config14],vulnerabilities/tests/test_upstream.py::test_updated_advisories[UbuntuUSNDataSource-config14],call,0.0,32.36
after_careful_mock,33,test_updated_advisories[IstioDataSource-config24],vulnerabilities/tests/test_upstream.py::test_updated_advisories[IstioDataSource-config24],call,0.0,32.36
after_careful_mock,33,test_updated_advisories[DebianOvalDataSource-config9],vulnerabilities/tests/test_upstream.py::test_updated_advisories[DebianOvalDataSource-config9],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[DebianDataSource-config3],vulnerabilities/tests/test_upstream.py::test_updated_advisories[DebianDataSource-config3],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[RedhatDataSource-config10],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RedhatDataSource-config10],call,0.0,32.36
after_careful_mock,33,test_updated_advisories[RubyDataSource-config5],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RubyDataSource-config5],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[AlpineDataSource-config1],vulnerabilities/tests/test_upstream.py::test_updated_advisories[AlpineDataSource-config1],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[ApacheKafkaDataSource-config23],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ApacheKafkaDataSource-config23],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[SUSESeverityScoreDataSource-config8],vulnerabilities/tests/test_upstream.py::test_updated_advisories[SUSESeverityScoreDataSource-config8],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[UbuntuDataSource-config6],vulnerabilities/tests/test_upstream.py::test_updated_advisories[UbuntuDataSource-config6],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[KaybeeDataSource-config18],vulnerabilities/tests/test_upstream.py::test_updated_advisories[KaybeeDataSource-config18],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[NpmDataSource-config4],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NpmDataSource-config4],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[OpenSSLDataSource-config13],vulnerabilities/tests/test_upstream.py::test_updated_advisories[OpenSSLDataSource-config13],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[GentooDataSource-config12],vulnerabilities/tests/test_upstream.py::test_updated_advisories[GentooDataSource-config12],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[RedhatDataSource-config10],vulnerabilities/tests/test_upstream.py::test_updated_advisories[RedhatDataSource-config10],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[IstioDataSource-config24],vulnerabilities/tests/test_upstream.py::test_updated_advisories[IstioDataSource-config24],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[ElixirSecurityDataSource-config21],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ElixirSecurityDataSource-config21],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[UbuntuUSNDataSource-config14],vulnerabilities/tests/test_upstream.py::test_updated_advisories[UbuntuUSNDataSource-config14],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[ProjectKBMSRDataSource-config16],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ProjectKBMSRDataSource-config16],teardown,0.0,32.36
after_careful_mock,33,test_updated_advisories[ArchlinuxDataSource-config2],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ArchlinuxDataSource-config2],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[NVDDataSource-config11],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NVDDataSource-config11],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[KaybeeDataSource-config18],vulnerabilities/tests/test_upstream.py::test_updated_advisories[KaybeeDataSource-config18],call,0.0,32.36
after_careful_mock,33,test_updated_advisories[NginxDataSource-config19],vulnerabilities/tests/test_upstream.py::test_updated_advisories[NginxDataSource-config19],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[ProjectKBMSRDataSource-config16],vulnerabilities/tests/test_upstream.py::test_updated_advisories[ProjectKBMSRDataSource-config16],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[SUSESeverityScoreDataSource-config8],vulnerabilities/tests/test_upstream.py::test_updated_advisories[SUSESeverityScoreDataSource-config8],teardown,0.0,32.36
after_careful_mock,33,test_updated_advisories[GitHubAPIDataSource-config15],vulnerabilities/tests/test_upstream.py::test_updated_advisories[GitHubAPIDataSource-config15],setup,0.0,32.36
after_careful_mock,33,test_updated_advisories[IstioDataSource-config24],vulnerabilities/tests/test_upstream.py::test_updated_advisories[IstioDataSource-config24],teardown,0.0,32.36
